Column,Type,Example,Description
user_id,String,1234,The user ID
app_name,String,chatgpt,Name of app (always chatgpt)
event_datetime,Datetime,2022-11-22 11:37:22 PM,Datetime of event (in UTC)
chat_title,String,Control Windows PC Using Echo,Title of ChatGPT conversation
chat_id,String,d050eafd-fcac-4cae-85c6-2f818facb170,Id of conversation
chat_role,String,user,"The role of chat message: user - User entering chat message, assistant - GenAI's response to user's message, system - system generated message, tool - A tool like code interpreter (Python), web browser, file handler, or image generator was invoked by the assistant to perform a task"
chat_tool_name,String,dalle.text2im,The name of the tool used
chat_message,String,How to control kodi via Amazon alexa,The message content entered by user or generated by assistant / system
content_type,String,multimodal_text,"Format or nature of the message content, helping ChatGPT's interface determine how to render that message. It's especially useful when the message isn't just plain text"
multimodal_content_type,String,image_asset_pointer,Specifies input or output modalities beyond text (only set when content_type is set to multimodal_text)
model_slug,String,gpt-4o,GPT model used
default_model_slug,String,gpt-4o,Default model set in user settings
attachment,JSON,"{""id"": ""file-egD2qoDOHIMuvn9oU0Riv037"", ""size"": 122648, ""name"": ""image.png"", ""mime_type"": ""image/png"", ""width"": 1534, ""height"": 1064}",Details of uploaded attachment
voice_mode_message,Boolean,FALSE,Indicates if chat_message was created during a voice interaction
citations,String,"[{""type"": ""webpage"", ""name"": """", ""title"": ""Amazon EBS encryption - Amazon EBS - docs.aws.amazon.com"", ""url"": ""https://docs.aws.amazon.com/ebs/latest/userguide/ebs-encryption.html?utm_source=chatgpt.com""}]",List of sources that the assistant included to back up its responses
search_result_groups,String,"[{""domain"": ""walmart.com"", ""entries"": [{""type"": ""search_result"", ""title"": ""17 Travel Backpack Carry-on Laptop Backpack Overnight Bag Weekender"", ""url"": ""https://www.walmart.com/ip/17-Travel-Backpack-Carry-on-Laptop-Backpack-Overnight-Bag-Weekender-Bag-Casual-Daypack-for-Women-Men-College-Pink/5388256876""}]}]",Search results that were retrieved during a conversation
chatgpt_plus_user,Boolean,FALSE,Indicates is user is on free or paid subscription
